class,label
crop_ru201904211947502570_.bmp,aircraft carrier
crop_lu201904211947523171_.bmp,aircraft carrier
lightness_1.07201904212002564020_.bmp,aircraft carrier
crop_c201904211947515973_.bmp,aircraft carrier
crop_ld201904211947546435_.bmp,aircraft carrier
lightness_1.07201904212002565586_.bmp,aircraft carrier
lightness_0.87201904211951540980_.bmp,aircraft carrier
crop_ru201904211947536042_.bmp,aircraft carrier
lightness_1.2201904211953040579_.bmp,aircraft carrier
rotate_270201904211954301747_.bmp,aircraft carrier
rotate_180201904211954305181_.bmp,aircraft carrier
rotate_180201904211954302306_.bmp,aircraft carrier
crop_c201904211947522666_.bmp,aircraft carrier
rotate_180201904211954291479_.bmp,aircraft carrier
crop_c201904211947521012_.bmp,aircraft carrier
crop_ld201904211947528560_.bmp,aircraft carrier
crop_ru201904211947589178_.bmp,aircraft carrier
lightness_1.07201904212002569716_.bmp,aircraft carrier
rotate_270201904211954317129_.bmp,aircraft carrier
lightness_0.87201904211951548810_.bmp,aircraft carrier
rotate_180201904211954311626_.bmp,aircraft carrier
rotate_90201904211954302242_.bmp,aircraft carrier
crop_ld201904211947525614_.bmp,aircraft carrier
lightness_0.87201904211951530021_.bmp,aircraft carrier
rotate_270201904211954313014_.bmp,aircraft carrier
crop_ld201904211947577336_.bmp,aircraft carrier
rotate_90201904211954298674_.bmp,aircraft carrier
crop_rd201904211947579536_.bmp,aircraft carrier
crop_ru201904211947589219_.bmp,aircraft carrier
lightness_1.07201904212002578371_.bmp,aircraft carrier
crop_ld201904211947584833_.bmp,aircraft carrier
crop_ru201904211947553506_.bmp,aircraft carrier
rotate_270201904211954317954_.bmp,aircraft carrier
rotate_180201904211954299304_.bmp,aircraft carrier
crop_lu201904211947533918_.bmp,aircraft carrier
crop_ld201904211947533865_.bmp,aircraft carrier
crop_rd201904211947574554_.bmp,aircraft carrier
20161106诺福克_3.bmp,aircraft carrier
lightness_0.5201904211952303523_.bmp,aircraft carrier
100000927_4.bmp,aircraft carrier
lightness_1.2201904211953056464_.bmp,aircraft carrier
lightness_1.2201904211953048662_.bmp,aircraft carrier
rotate_180201904211954324696_.bmp,aircraft carrier
crop_ld201904211947583394_.bmp,aircraft carrier
crop_c201904211947518760_.bmp,aircraft carrier
crop_ld201904211947595042_.bmp,aircraft carrier
lightness_1.07201904212002567473_.bmp,aircraft carrier
lightness_0.5201904211952297901_.bmp,aircraft carrier
100001232_1.bmp,aircraft carrier
crop_c201904211947533787_.bmp,aircraft carrier
crop_lu201904211947585436_.bmp,aircraft carrier
crop_rd201904211947572080_.bmp,aircraft carrier
crop_ru201904211947588611_.bmp,aircraft carrier
crop_rd201904211947542984_.bmp,aircraft carrier
crop_ru201904211947506084_.bmp,aircraft carrier
crop_ld201904211947517748_.bmp,aircraft carrier
crop_rd201904211947542770_.bmp,aircraft carrier
crop_ld201904211947507030_.bmp,aircraft carrier
crop_c201904211947588103_.bmp,aircraft carrier
lightness_0.5201904211952292204_.bmp,aircraft carrier
lightness_1.07201904212002560608_.bmp,aircraft carrier
lightness_0.5201904211952296196_.bmp,aircraft carrier
lightness_0.5201904211952299838_.bmp,aircraft carrier
rotate_180201904211954316338_.bmp,aircraft carrier
lightness_1.2201904211953058672_.bmp,aircraft carrier
crop_rd201904211947589064_.bmp,aircraft carrier
rotate_270201904211954307823_.bmp,aircraft carrier
lightness_0.5201904211952289018_.bmp,aircraft carrier
lightness_1.2201904211953049171_.bmp,aircraft carrier
crop_ru201904211947550464_.bmp,aircraft carrier
lightness_1.07201904212002563445_.bmp,aircraft carrier
lightness_0.5201904211952281560_.bmp,aircraft carrier
20090911吉萨普_1.bmp,aircraft carrier
rotate_90201904211954302297_.bmp,aircraft carrier
100001006_1.bmp,aircraft carrier
100001550_1.bmp,aircraft carrier
crop_c201904211947493108_.bmp,aircraft carrier
lightness_0.5201904211952280232_.bmp,aircraft carrier
crop_ru201904211947546144_.bmp,aircraft carrier
rotate_270201904211954327981_.bmp,aircraft carrier
